pid,intent,source,utterance,response,subcat
1867491,OTHER,airlines.csv:7615,"<cust__ __company__ thank you ! flt . __num__ __airport_code__ > atl ( __num__ pm __num__ / __num__ ) __airport_code__ thanking many for flying delta , helping disabled , info on other flts . she 's joyous ! ! __cust>",<rep__ __cust__ glad to hear eva was keeping everyone happy during the trip . we 're working to make flying w/ us even better ! have a great weekend ! __initials__ __rep>,
1689827,INFLIGHTFACS,airlines.csv:30197,<cust__ i got upgraded by __company__ and feel like a million $ . thank you ! __cust>,"<rep__ __cust__ hi muriel , sounds good ! that 's the best kind of surprise ! ^jm __rep> <cust__ __company__ __cust__ she is always lucky __cust>",
2491004,OTHER,airlines.csv:22851,<cust__ out of office on until __num__ th december . __airport_code__ here i come ! __twitter_at__ __company__ __cust>,<rep__ __cust__ thanks for joining us today ! have a great flight . __rep>,
828471,OTHER,airlines.csv:36140,<cust__ __company__ just flying to __airport_code__ in __num__ ? __cust>,<rep__ __cust__ keep your eyes peeled for more updates headed your way ! __initials__ __rep>,
1870913,INFLIGHTENT,airlines.csv:39246,<cust__ __company__ started boarding fl __num__ mins early ? ? were trained for the __num__ min and now no wifi ... __twitter_tag__ member # tellusnextime __cust>,"<rep__ __cust__ oh no . we 're sorry for the trouble , mark . we 'll be sure to pass along your concerns , & we appreciate your patience today . safe travels ! __initials__ __rep>",
1954780,TERMOPS,airlines.csv:7942,<cust__ thanks __company__ -- - been waiting for a gate in __airport_code__ for __num__ minutes . we are here if you want to actually open a gate for us . flight __num__ __cust>,"<rep__ __cust__ hi cliff , i apologize for the travel experience , we strive to provide excellent customer service and understand your frustration . __initials__ __rep>",
2306145,OTHER,airlines.csv:22005,<cust__ __company__ you are __airport_code__ better at customer service than __twitter_at__ ! kudos to you ... any suggestions on how to resolve customer service issues with them ? __cust>,<rep__ __cust__ we 're unable to speak on our friend 's behalf but are happy to hear how satisfied you 're with our service . __twitter_tag__ __rep> <cust__ __company__ __company__ y'all are so cordial . will continue to support you and not __twitter_at__ although no hard feelings . we 're all in this together . __twitter_tag__ __cust>,
2741615,OTHER,airlines.csv:33292,<cust__ everyone kicking up a fuss about __company__ new boarding policy . it does n't matter if you board __num__ st or last . the plane leaves at the same time for every passenger . rather spend extra time in the departure lounge anyway __cust>,"<rep__ __cust__ thanks so much for your kind words , gerard . we do hope this will help make it easier for our customers to understand . ^danielle __rep>",
2210048,OTHER,airlines.csv:21306,<cust__ __company__ when will flight __num__ depart ? __cust>,<rep__ __cust__ we should have that flight pushed back and wheels up shortly . thanks for your patience . __rep>,
50214,BOOKFLT,airlines.csv:25335,"<cust__ __company__ due to leave dominican republic tomorrow , ref __num__ x __num__ a __num__ p. is departure tax included in booking cost ? if so how can i prove ? __cust>","<rep__ __cust__ hi michael , yes all tax will be included in your ticket . have a great trip ! ^rach __rep> <cust__ __company__ many thanks for confirming . __cust>",
2691111,INFLIGHTFACS,airlines.csv:23839,<cust__ __company__ seats reassigned __num__ hours before my flight . split up my wife and i in different rows on our wedding anniversary vacation flight . rude gate agents unwilling to assist . absolutely unacceptable . contact me to resolve this terrible experience . __cust>,"<cust__ __company__ furthermore , as an advantage member and american credit card holder , im disgusted by this mornings events . __cust> <rep__ __cust__ congrats on your marriage ! we do all we can to keep your seats as they are but operational needs may call for reconfiguration . __rep> <cust__ __company__ __num__ hours before my flight ? and separating a couple trying to celebrate an anniversary ? and having dismissive and rude gate agents ? i hardly think operational needs means poor customer service . __cust>",
2948663,REWARDS,airlines.csv:33898,"<cust__ __company__ how does a child earn avios when flying ? cant open own exec acc , i have added her to household account but have no member number for her __cust>","<rep__ __cust__ hi lauren , we would recommend contacting the executive club directly as they 'll be able to help you with this query . they can be reached via the number below . __num__ __num__ option __num__ ( calls charged at local rate ) daily __num__ __num__ . ^cody __rep>",
79765,DELAY,airlines.csv:34109,<cust__ __company__ any update on why flight # __num__ is delayed from chicago to orange county ? im going to be on the flight __cust>,"<rep__ __cust__ we 're showing that your flight is delayed to to maintenance , and we 're truly sorry for the inconvenience . __initials__ __rep> <cust__ __company__ thank you very much , i would much rather have the airline i fly on ensure as much safety as possible and not risk anything . customer service is why i continually fly southwest airlines . gary kelly would be proud ! -danny h , chicago il __cust> <rep__ __cust__ safety is our top priority at all times . thanks for hanging in there with us , danny ! __initials__ __rep>",
2544150,OTHER,airlines.csv:23151,<cust__ __company__ my new favorite airlines __cust>,"<rep__ __cust__ aww , thanks ! __twitter_tag__ __rep> <cust__ __company__ forever ever __cust>",
467632,BAGGAGE,airlines.csv:13732,"<cust__ __company__ i 've never see so many angry customers , including myself at the gate agents in la for flight __num__ to __airport_code__ . bags that fit perfectly in the check outside are being forced to check them . plenty of room in the overheads . __cust>",<rep__ __cust__ we expect our team to be professional and courteous and we 're so sorry for any rudeness . __rep>,
214580,BAGGAGE,airlines.csv:591,"<cust__ __company__ as a traveling musician , i always have anxiety traveling with my instruments . thank you for being accommodating on this trip ! __cust>",<rep__ __cust__ thank __airport_code__ for choosing delta ! __initials__ __rep>,
1145877,OTHER,airlines.csv:16740,<cust__ i miss flying __company__ cant wait to see you tuesday ! not a fan of sw boarding process at __airport_code__ . __cust>,"<rep__ __cust__ we ca n't wait to see you either , meg ! we 're starting the countdown ! __rep>",
1534460,INFLIGHTENT,airlines.csv:6418,<cust__ time for more in-flight entertainment ! __company__ __num__ __cust>,"<rep__ __cust__ your feedback is appreciated , josh . __initials__ __rep>",
2107717,DELAY,airlines.csv:40182,"<cust__ thanks __company__ for changing my flight , delaying that flight , then losing my bags . solid . __cust>","<rep__ __cust__ we 're sorry to learn your experience fell short of expectation this time around , sky . we hope to have a chance to welcome you back ( __num__ / __num__ ) __initials__ __rep>",
786209,BAGGAGE,airlines.csv:14981,<cust__ shoutout to the __company__ employee who just checked a dozen bags for free since it was all donated supplies for haiti ! __cust>,<rep__ __cust__ we 're so happy to hear that sarah ! thanks for your hard work getting those supplies to haiti . __rep>,
1326725,TERMFACS,airlines.csv:5564,"<cust__ the __twitter_at__ t __num__ redesign that added __num__ escalators & skywalk just to get a taxi ensures i 'm flying only __company__ , i want my __num__ mins back . __cust>",<rep__ __cust__ thanks for taking the time to share your feedback . we 'll pass this along for further review . __rep>,
1396392,FLIGHTSTAFF,airlines.csv:17940,<cust__ __company__ great crew working __num__ to __airport_code__ -phl today . much appreciated ! __cust>,"<rep__ __cust__ we appreciate you as well , tom . we 'll gladly forward your praises to them and the rest of our __twitter_tag__ . __rep>",
1936354,DELAY,airlines.csv:39503,<cust__ why is flight __num__ from oak to dal delayed so long __company__ ? no explanation & we 'll have to change our plans if we ever make it __cust>,<rep__ __cust__ it looks like an aircraft swap is taking place . communication is key during these times and we 're sorry to let you down today . __initials__ __rep> <cust__ __company__ thanks ! __cust>,
1112835,CHECKIN,airlines.csv:16570,<cust__ __company__ trying to check in for transfer via miami from orlando to george town and getting no response on my international call __cust>,<rep__ __cust__ we 're currently not showing any seats that we can assign at this time . please continue working with reservations directly for options . __rep>,
106517,BOOKFLT,airlines.csv:254,"<cust__ __company__ trying all day to book an international flight , only getting error messages ! what is the problem ? ? __cust>","<cust__ __company__ fare sold out error , i tried diff . flights over __num__ hrs . fares reappear each search . __airport_code__ - __airport_code__ dl __num__ , __num__ , __num__ +dl __num__ , __num__ , __num__ feb __num__ . __cust> <rep__ __cust__ hi angelique . have you tried completely closing down your browser and bringing the site back up ? __initials__ __rep>",
2976923,DELAY,airlines.csv:11941,<cust__ __twitter_at__ thanks for stranding me in dc . another huge reminder on why i continue to keep top status on __company__ __cust>,<rep__ __cust__ so sorry for the disruptions to your travels . we 're glad to see our airport has you booked on an alternate this evening . __rep>,
2868012,FLIGHTSTAFF,airlines.csv:24731,"<cust__ after being delayed __num__ hours , an __company__ crew member , flor , slammed the boarding gate on me . i have never been talked to with such contempt and cruelty . i know yesterday was a busy travel day , but at the very least __company__ treat ur customers with kindness . __twitter_tag__ __cust>","<rep__ __cust__ you 're absolutely right and it 's completely unacceptable to behave that way with a valued customer . so sorry , this really is n't our culture . __rep> <cust__ __company__ thank you for your apology for this horrible treatment . will you do anything to remedy the situation ? __cust> <rep__ __cust__ we 're not able to offer anything further . your info has been passed to the right team for internal review . __rep> <cust__ __company__ empty apology for terrible treatment and service . never flying american again and telling everyone i know not to . will always fly __twitter_at__ from now on . last time sw made an error they gave me __money__ voucher . __twitter_at__ always provides excellent service . __cust>",
990836,CHGFLT,airlines.csv:3976,<cust__ __company__ can i request to change my flight from __airport_code__ to __airport_code__ on __num__ / __num__ to dl __num__ ? __cust>,"<rep__ __cust__ i marck , i would be happy to check on this for you . __initials__ __rep>",
135941,INFLIGHTFACS,airlines.csv:25513,<cust__ __company__ why would you split a family of __num__ up on a plane . when they have the same surname and booked in advance so they could sit together ? __twitter_tag__ __cust>,<rep__ __cust__ or free seating will be available within __num__ hours of the departure time . we hope this information is helpful to you and we look forward to welcoming you all on board soon . ^julie __num__ / __num__ __rep>,
